Latitude,Longitude,wc2.1_2.5m_bio_1,wc2.1_2.5m_bio_2,wc2.1_2.5m_bio_3,wc2.1_2.5m_bio_4,wc2.1_2.5m_bio_5,wc2.1_2.5m_bio_6,wc2.1_2.5m_bio_7,wc2.1_2.5m_bio_8,wc2.1_2.5m_bio_9,wc2.1_2.5m_bio_10,wc2.1_2.5m_bio_11,wc2.1_2.5m_bio_12,wc2.1_2.5m_bio_13,wc2.1_2.5m_bio_14,wc2.1_2.5m_bio_15,wc2.1_2.5m_bio_16,wc2.1_2.5m_bio_17,wc2.1_2.5m_bio_18,wc2.1_2.5m_bio_19,ID,Species,Connectance,H2,NODF,modularity
-33.283334,-70.266668,-1.67783331871033,9.85033321380615,46.7460784912109,428.888153076172,9.80399990081787,-11.2679996490479,21.0719985961914,-5.82533311843872,3.45800018310547,3.45800018310547,-6.96933317184448,405,76,5,80.7540283203125,214,18,18,201,M_PL_002,107,0.0712209302325581,0.590961138118277,0.153606300060565,0.492711370262392
-33.283334,-70.266668,-1.67783331871033,9.85033321380615,46.7460784912109,428.888153076172,9.80399990081787,-11.2679996490479,21.0719985961914,-5.82533311843872,3.45800018310547,3.45800018310547,-6.96933317184448,405,76,5,80.7540283203125,214,18,18,201,M_PL_003,61,0.09,0.633999689755262,0.191882147124083,0.579637250419143
46.553731,-66.071245,4.5475001335144,11.3430004119873,27.3959045410156,1067.31958007812,24.9039993286133,-16.5,41.4039993286133,14.6900005340576,-3.42133331298828,17.3273334503174,-9.10733318328857,1157,112,76,11.0252122879028,312,245,294,274,M_PL_004,114,0.136437908496732,0.629233451870185,0.307846718109547,0.478934346875112
52.762395,1.575532,9.77050018310547,6.29500007629395,33.7569732666016,452.895812988281,20.1959991455078,1.54799997806549,18.6479988098145,7.87800025939941,6.03533315658569,15.5486669540405,4.56133317947388,600,65,36,16.255277633667,180,125,152,146,M_PL_006,78,0.140790742526519,0.465906319749353,0.522694537292706,0.40087258397448
52.413173,1.097873,9.68299961090088,7.69533348083496,37.3414878845215,478.620819091797,21.507999420166,0.899999976158142,20.6079998016357,7.37800025939941,5.85999965667725,15.7546663284302,4.239333152771,606,63,38,14.9148464202881,178,125,154,148,M_PL_007,52,0.147569444444444,0.516305224989805,0.35658354978355,0.419930795847751
28.216667,-16.633333,10.4990005493164,10.1546669006348,44.0434875488281,474.377258300781,24.3400001525879,1.28399991989136,23.0559997558594,5.57866668701172,16.7760009765625,16.9500007629395,5.57866668701172,420,81,1,81.1411972045898,222,5,20,222,M_PL_008,49,0.253588516746411,0.470297452061211,0.359711751895129,0.353684585261659
68.35,18.5,-3.15516662597656,6.89766645431519,24.3596076965332,755.117553710938,12.6599998474121,-15.6560001373291,28.3159999847412,6.04866647720337,-5.38533306121826,6.94199991226196,-11.2720003128052,743,90,42,22.4822483062744,235,136,230,183,M_PL_009,142,0.0854519774011299,0.639033432802974,0.153927062397601,0.483027115634178
74.5,-20.5,-10.091667175293,5.03666687011719,15.9509334564209,1004.68719482422,8.02400016784668,-23.5520000457764,31.576000213623,-20,-6.29866647720337,3.49133324623108,-20.3946666717529,264,36,7,36.939079284668,92,30,63,85,M_PL_010,107,0.193548387096774,0.34949521936757,0.351698727203785,0.249725877192982
-20.348404,57.552152,20.7581672668457,6.01100015640259,50.8889312744141,228.120391845703,26.7479991912842,14.9359998703003,11.8119993209839,23.5286674499512,19.6126670837402,23.5286674499512,17.9860000610352,1851,273,66,47.636661529541,752,220,752,283,M_PL_011,27,0.285714285714286,0.37564393075753,0.54585798816568,0.32914201183432
28.127842,-17.248908,15.3733329772949,5.30933332443237,42.1911430358887,268.448181152344,22.576000213623,9.99199962615967,12.5840005874634,13.7559995651245,18.0413341522217,18.9306659698486,12.4539995193481,378,69,1,77.9235610961914,188,5,16,161,M_PL_012,84,0.0909090909090909,0.505886985823494,0.304021742805177,0.435053507728894
-29.616667,30.133333,15.1508331298828,12.7729997634888,58.3561744689941,321.027404785156,24.1760005950928,2.28800010681152,21.8880004882812,18.7213325500488,11.1153335571289,18.7213325500488,10.8306665420532,928,149,12,69.3974075317383,433,50,433,52,M_PL_013,65,0.204365079365079,0.565692707340493,0.354888924527249,0.438684136110849
81.816667,-71.3,-17.1843338012695,5.33800029754639,13.0144338607788,1364.41918945312,4.53599977493286,-36.4799995422363,41.015998840332,-0.950666725635529,-32.1213340759277,1.01066660881042,-32.1213340759277,114,25,3,78.3776931762695,68,9,57,9,M_PL_014,110,0.0762026394210302,0.625446334256245,0.256823343404528,0.470834243625355
51.574994,-2.589902,10.4390001296997,7.07666683197021,36.3876304626465,454.777435302734,21.4640007019043,2.01600003242493,19.4479999542236,6.28800010681152,14.6573333740234,16.2846660614014,5.31733322143555,780,82,44,19.7551593780518,241,157,169,219,M_PL_017,104,0.151392405063291,0.403908857016133,0.428419629847872,0.325119405823201
56.238737,9.973652,7.41216659545898,6.90833330154419,28.4668426513672,619.167053222656,19.3799991607666,-4.88800001144409,24.2679996490479,8.26666641235352,2.25733327865601,15.1286659240723,0.157999992370605,666,70,36,22.6847648620605,210,116,184,133,M_PL_018,144,0.0935286935286935,0.498639145902188,0.197348956141181,0.372522820388713
-36.45,148.266667,4.62633323669434,9.3953332901001,39.3044395446777,505.657165527344,17.3320007324219,-6.57200002670288,23.9040012359619,0.73066657781601,10.8319997787476,10.8319997787476,-1.52800011634827,1975,222,99,25.4815425872803,651,336,336,587,M_PL_019,125,0.0776470588235294,0.526098796901621,0.193095981772479,0.410540059687787
